word	label	subtype
intentional	R	
intentionally	R	
interact	R	
interaction	R	
interactive	R	
interdisciplinary	R	
interest	R	
interested	S	evaluative
interesting	S	evaluative
interface	R	
internal	R	
international	R	
internationally	R	
internet	R	
internships	R	
interpretation	R	
interpreted	R	
intersection	R	
interval	R	
interview	R	
into	F	
intriguing	S	evaluative
introduced	R	
introduction	R	
inux	X	
investigate	R	
investigating	R	
investigation	R	
investigations	R	
investment	R	
investors	R	
invite	R	
invited	R	
invites	R	
involved	R	
involvement	R	
involving	R	
ions	X	
ip	R	
iraq	R	
iraqi	R	
ireland	R	
irish	R	
iron	R	
irrational	S	evaluative
is	F	
isbn	R	
island	R	
isn	F	
isn't	F	
iso	R	
issue	R	
issued	R	
issues	R	
it	F	
it's	F	
italian	R	
item	R	
items	R	
itinerary	R	
its	F	
itself	F	
jackson	R	
james	R	
january	R	
japan	R	
japanese	R	
jar	R	
jardin	X	
java	R	
jazz	R	
jean	R	
jersey	R	
jessica	R	
jesus	R	
jet	R	
jewellery	R	
jewish	R	
job	R	
jobs	R	
joe	R	
john	R	
johnny	R	
johnson	R	
join	R	
joined	R	
joining	R	
jones	R	
joseph	R	
joshua	R	
journal	R	
journalists	R	
journey	R	
joy	R	
jpeg	R	
jr	R	
juan	R	
judge	R	
judges	R	
judicial	R	
juice	R	
julia	R	
julie	R	
julius	R	
july	R	
jump	R	
jumped	R	
jumping	R	
june	R	
jury	R	
just	S	epistemic
justice	R	
justify	S	speech_act
justin	R	
kansas	R	
karen	R	
kat	R	
kayak	R	
keen	S	evaluative
keep	R	
keeping	R	
kelly	R	
kevin	R	
key	S	evaluative
kick	R	
kicking	R	
kicks	R	
kickstarter	R	
kidnapping	R	
kids	R	
kill	R	
killed	R	
killer	R	
kilometers	R	
kilometres	R	
kim	R	
kind	S	evaluative
kinda	S	epistemic
kindle	R	
king	R	
kit	R	
kitchen	R	
km	R	
knew	S	attitude_verb
knocked	R	
know	S	attitude_verb
knowledge	R	
knowledgeable	R	
known	S	attitude_verb
knows	S	attitude_verb
korean	R	
ky	R	
la	F	
label	R	
labor	R	
laboratory	R	
labour	R	
lack	R	
lacking	R	
ladies	R	
lady	R	
lag	R	
laid	R	
lake	R	
land	R	
landmarks	R	
landscape	R	
lane	R	
language	R	
laptop	R	
large	R	
largely	S	epistemic
larger	R	
largest	R	
laser	R	
last	F	
lasting	R	
late	R	
later	F	
latest	R	
latter	F	
launch	R	
launching	R	
law	R	
lawyer	R	
lay	R	
layer	R	
layout	R	
lbs	R	
ldap	R	
le	F	
lead	R	
leader	R	
leaders	R	
leadership	R	
leading	R	
league	R	
learn	R	
learning	R	
least	F	
leave	R	
leaves	R	
lecturers	R	
led	R	
lee	R	
left	R	
legal	R	
legalization	R	
legally	R	
legendary	S	evaluative
legion	R	
legislation	R	
legislative	R	
lego	R	
leisure	R	
lemon	R	
lending	R	
lenga	X	
length	R	
lengths	R	
lenovo	R	
less	F	
let	F	
let's	F	
lets	F	
letter	R	
level	R	
lever	R	
leveraging	R	
lewis	R	
lg	R	
liar	R	
liberty	R	
library	R	
lice	R	
license	R	
licensed	R	
lies	R	
life	R	
lifestyle	R	
lifting	R	
light	R	
lightweight	R	
like	F	
likely	S	epistemic
lil	R	
limited	R	
limo	R	
lin	R	
linda	R	
line	R	
lines	R	
lingering	R	
link	R	
linked	R	
linking	R	
links	R	
list	R	
listed	R	
listen	R	
listener	R	
listening	R	
listing	R	
literary	R	
literature	R	
litigation	R	
little	R	
live	R	
lively	S	evaluative
liver	R	
liverpool	R	
lives	R	
living	R	
llc	R	
load	R	
lobster	R	
local	R	
located	R	
location	R	
locations	R	
lock	R	
lodging	R	
log	R	
logical	R	
login	R	
logistical	R	
logo	R	
lol	S	interjection
long	R	
longer	R	
longevity	R	
look	R	
looked	R	
looking	R	
looks	R	
lord	R	
los	F	
lose	R	
loss	R	
lot	F	
lots	F	
louis	R	
love	S	attitude_verb
lovely	S	evaluative
low	R	
lower	R	
loyalty	R	
ltd	R	
lucas	R	
lunar	R	
lunch	R	
luncheon	R	
lurking	R	
lush	S	evaluative
lutheran	R	
ma	R	
mac	R	
machine	R	
macro	X	
made	R	
magazine	R	
magic	R	
magical	R	
magnetic	R	
magnificent	S	evaluative
mail	R	
mailing	R	
main	R	
maintaining	R	
major	S	evaluative
make	R	
makes	R	
making	R	
malaysia	R	
male	R	
man	R	
manage	R	
manageable	R	
managed	R	
management	R	
manager	R	
managing	R	
manipulate	R	
manual	R	
manufactured	R	
manufacturer	R	
manufactures	R	
manufacturing	R	
many	F	
map	R	
maps	R	
marginalized	R	
maria	R	
marine	R	
mark	R	
marked	R	
market	R	
marketing	R	
markets	R	
marks	R	
marriott	R	
marshall	R	
martial	R	
martin	R	
mary	R	
mass	R	
massachusetts	R	
massive	S	degree
mastering	R	
masters	R	
match	R	
matched	R	
matches	R	
material	R	
materials	R	
math	R	
matt	R	
matter	R	
matters	R	
mature	R	
maximum	R	
may	S	modal
maya	R	
maybe	S	epistemic
me	F	
mean	S	attitude_verb
meaning	R	
meaningful	S	evaluative
means	R	
meant	S	attitude_verb
measure	R	
measures	R	
mechanical	R	
mechanisms	R	
med	R	
media	R	
medical	R	
medicine	R	
medium	R	
meet	R	
meeting	R	
meets	R	
mega	S	degree
melee	R	
melt	R	
member	R	
members	R	
memorial	R	
memory	R	
men	R	
men's	R	
mention	S	speech_act
mentioned	S	speech_act
menu	R	
mere	S	epistemic
merely	S	epistemic
message	R	
met	R	
metadata	R	
metal	R	
methodology	R	
methods	R	
meticulous	S	evaluative
metro	R	
mexico	R	
miami	R	
michael	R	
michigan	R	
microsoft	R	
midwest	R	
might	S	modal
mike	R	
mil	X	
military	R	
million	F	
millions	R	
min	R	
mind	S	attitude_verb
mine	F	
mineral	R	
minimal	R	
minimize	R	
minimum	R	
ministry	R	
minute	R	
missing	R	
mission	R	
mistake	R	
mistakes	R	
mitigate	R	
mitigating	R	
mix	R	
mixed	R	
mixing	R	
mixture	R	
mk	R	
ml	R	
mlb	R	
mm	R	
mo	R	
mobile	R	
mock	R	
model	R	
models	R	
modern	R	
modular	R	
molecular	R	
mom	R	
moment	R	
momentum	R	
moms	R	
monarch	R	
monday	R	
money	R	
monitoring	R	
monitors	R	
monster	R	
montana	R	
months	R	
monumental	S	degree
moral	S	evaluative
more	F	
moreover	F	
morning	R	
morph	X	
most	F	
mostly	S	epistemic
motel	R	
mother	R	
motor	R	
moulin	X	
mount	R	
mountain	R	
mouth	R	
move	R	
movie	R	
mp	R	
mr	R	
mt	R	
much	F	
muchas	X	
muller	R	
multi	X	
multimedia	R	
multiple	R	
municipal	R	
muscle	R	
museum	R	
music	R	
must	S	modal
mustang	R	
mustard	R	
mutual	R	
my	F	
myriad	S	degree
myself	F	
mythical	R	
nah	S	interjection
name	R	
named	R	
narrow	R	
nation	R	
national	R	
nations	R	
native	R	
natural	R	
naturally	R	
nature	R	
naval	R	
navigating	R	
navigation	R	
nbc	R	
nd	F	
near	R	
nearly	S	epistemic
necessary	S	evaluative
need	S	modal
needed	R	
needle	R	
needs	R	
negative	S	evaluative
negatively	S	evaluative
neighborhood	R	
neither	F	
neo	X	
nesting	R	
nestled	R	
net	R	
netherlands	R	
network	R	
networking	R	
never	F	
new	R	
newest	R	
newfound	R	
newly	R	
news	R	
newsletter	R	
newspaper	R	
next	F	
nexus	R	
nfl	R	
nice	S	evaluative
nick	R	
nicole	R	
nieces	R	
nifty	S	evaluative
nigeria	R	
night	R	
nih	R	
nine	F	
nintendo	R	
nivel	X	
no	F	
nobel	R	
non	X	
none	F	
nor	F	
normal	S	evaluative
normally	S	epistemic
normative	R	
north	R	
northern	R	
northwest	R	
not	F	
notable	S	evaluative
note	S	speech_act
noted	S	speech_act
notes	R	
nothing	F	
notice	R	
noticeable	R	
nourish	R	
nourishing	R	
nourishment	R	
novel	R	
november	R	
now	F	
nuclear	R	
number	R	
nurses	R	
nursing	R	
nutrition	R	
nutritious	R	
obesity	R	
object	R	
objects	R	
observer	R	
obtain	R	
obtainable	R	
obtained	R	
obviously	S	epistemic
occasion	R	
occasional	R	
occasionally	F	
occupational	R	
occupied	R	
occur	R	
occurred	R	
occurring	R	
occurs	R	
ocean	R	
oct	R	
october	R	
odd	S	evaluative
of	F	
off	F	
offence	R	
offer	R	
offered	R	
offering	R	
offerings	R	
offers	R	
office	R	
official	R	
officially	R	
often	F	
oh	S	interjection
ohio	R	
oil	R	
okay	S	interjection
oklahoma	R	
ol	X	
ola	X	
old	R	
on	F	
once	F	
one	F	
one's	F	
ones	F	
ongoing	R	
onions	R	
online	R	
only	S	epistemic
ontario	R	
onto	F	
open	R	
opened	R	
opening	R	
oper	R	
operated	R	
operating	R	
operation	R	
operational	R	
operations	R	
opinions	R	
opportunities	R	
opportunity	R	
opposed	R	
opposite	R	
opt	R	
opted	R	
optical	R	
optimal	S	evaluative
optimization	R	
optimize	R	
optional	R	
options	R	
or	F	
oral	R	
orange	R	
order	R	
ordered	R	
orders	R	
oregon	R	
organic	R	
organisations	R	
organise	R	
organising	R	
organization	R	
organizations	R	
organize	R	
organizing	R	
organs	R	
origin	R	
original	R	
originally	R	
orlando	R	
os	R	
oscar	R	
other	F	
other's	F	
others	F	
otherwise	F	
ottawa	R	
ought	S	modal
our	F	
ours	F	
ourselves	F	
out	F	
outcome	R	
outdoor	R	
outline	R	
outlined	R	
output	R	
outside	R	
outsourcing	R	
outstanding	S	evaluative
oven	R	
over	F	
overall	F	
overarching	R	
overview	R	
owed	R	
owing	R	
own	F	
owner	R	
owners	R	
ownership	R	
oysters	R	
oz	R	
paced	R	
pacific	R	
package	R	
packages	R	
packed	R	
page	R	
paid	R	
pain	R	
palestinian	R	
palm	R	
palpable	S	evaluative
panel	R	
paper	R	
papers	R	
paradigm	R	
parallel	R	
parameters	R	
paramount	S	evaluative
parent	R	
parents	R	
park	R	
parking	R	
parks	R	
parsons	R	
part	R	
partial	R	
participants	R	
participate	R	
participating	R	
participation	R	
particular	R	
particularly	S	degree
parties	R	
partner	R	
party	R	
passing	R	
passion	R	
passive	R	
passports	R	
past	R	
pastoral	R	
pat	R	
patent	R	
path	R	
patient	R	
patient's	R	
patio	R	
pattern	R	
paul	R	
pavement	R	
pay	R	
payday	R	
paying	R	
payment	R	
payments	R	
pays	R	
pcb	R	
pci	R	
pdf	R	
peace	R	
peaks	R	
peanut	R	
pelvic	R	
penalty	R	
pending	R	
peng	X	
people	R	
people's	R	
peoples	R	
per	F	
perceived	S	epistemic
percent	R	
perception	R	
perfect	S	evaluative
perfectly	S	evaluative
perform	R	
performance	R	
performed	R	
perfume	R	
perhaps	S	epistemic
period	R	
periods	R	
permission	R	
permit	R	
person	R	
personal	R	
personalised	R	
personally	S	epistemic
persons	R	
perspective	R	
perspectives	R	
pertaining	R	
perth	R	
pervasive	R	
pessoa	R	
peter	R	
ph	X	
pharmaceutical	R	
pharmacy	R	
philosophy	R	
phone	R	
phones	R	
photo	R	
photographs	R	
photography	R	
photos	R	
physical	R	
physically	R	
physics	R	
picasso	R	
pick	R	
picked	R	
picking	R	
picks	R	
picture	R	
pictures	R	
piece	R	
pieces	R	
pigment	R	
pigmentation	R	
pile	R	
pillows	R	
pinpoint	R	
pit	R	
pivotal	S	evaluative
pizzas	R	
place	R	
placement	R	
plan	R	
planet	R	
planned	R	
planning	R	
plans	R	
plant	R	
plasma	R	
plastic	R	
platform	R	
play	R	
played	R	
player	R	
playing	R	
playlists	R	
plays	R	
pleasant	S	evaluative
pleasantly	S	evaluative
please	S	interjection
pleased	S	evaluative
pleasure	R	
pledge	R	
pledged	R	
plenty	F	
plethora	S	degree
plot	R	
plug	R	
plugin	R	
plus	F	
pm	R	
pocket	R	
podcast	R	
point	R	
points	R	
poker	R	
police	R	
policies	R	
policy	R	
political	R	
politicians	R	
politics	R	
poll	R	
pollutants	R	
pollution	R	
pool	R	
poor	S	evaluative
pop	R	
popped	R	
popping	R	
popular	R	
population	R	
populations	R	
pork	R	
porn	R	
port	R	
portfolio	R	
portion	R	
portions	R	
portrait	R	
portrayal	R	
posed	R	
position	R	
positive	S	evaluative
positively	S	evaluative
possess	R	
possibility	R	
possible	S	epistemic
possibly	S	epistemic
post	R	
posted	R	
postgraduate	R	
posting	R	
posts	R	
potential	S	epistemic
potentially	S	epistemic
pounds	R	
powder	R	
power	R	
powerful	S	evaluative
practical	R	
practically	S	epistemic
practice	R	
practices	R	
practicing	R	
praised	S	speech_act
pre	X	
precious	S	evaluative
precise	S	evaluative
precisely	S	epistemic
precision	R	
predict	S	epistemic
prefer	S	attitude_verb
preferences	R	
preliminary	R	
premier	R	
premium	S	evaluative
prenatal	R	
preparation	R	
prepare	R	
prepared	R	
preparing	R	
presence	R	
present	R	
presentation	R	
presented	R	
presenting	R	
president	R	
press	R	
pressure	R	
presumably	S	epistemic
presume	S	attitude_verb
pretty	S	epistemic
prevalent	R	
prevent	R	
preventative	R	
prevented	R	
prevention	R	
previous	F	
previously	R	
price	R	
prices	R	
pride	R	
primarily	S	epistemic
primary	R	
prime	R	
prince	R	
princess	R	
principal	R	
principles	R	
print	R	
printed	R	
prints	R	
prior	F	
priorities	R	
priority	R	
prison	R	
privacy	R	
private	R	
privilege	R	
pro	R	
proactive	R	
probability	R	
probably	S	epistemic
problem	R	
problems	R	
procedures	R	
proceed	R	
proceeded	R	
proceeds	R	
process	R	
processed	R	
processing	R	
processor	R	
produce	R	
produced	R	
product	R	
production	R	
products	R	
professional	R	
professionals	R	
professor	R	
profile	R	
profound	S	evaluative
program	R	
programme	R	
programmes	R	
programs	R	
progress	R	
progression	R	
project	R	
projects	R	
promised	S	speech_act
promises	S	speech_act
promising	S	evaluative
promote	R	
promoting	R	
promotional	R	
proof	R	
properly	S	evaluative
property	R	
proposal	R	
proposals	R	
propose	S	speech_act
proposed	S	speech_act
prospective	R	
protect	R	
protected	R	
protecting	R	
protection	R	
protective	R	
protocols	R	
proud	S	evaluative
prove	S	epistemic
proved	S	epistemic
proven	S	epistemic
provide	R	
provided	R	
provider	R	
providers	R	
provides	R	
providing	R	
provision	R	
provisioning	R	
proxy	R	
ps	R	
psychiatric	R	
psychological	R	
psychologist	R	
psychology	R	
public	R	
publication	R	
publications	R	
publicly	R	
published	R	
pull	R	
pulmonary	R	
pump	R	
pumpkin	R	
purchase	R	
purchases	R	
purchasing	R	
pure	R	
purpose	R	
purposes	R	
pursue	R	
pursuit	R	
push	R	
pushed	R	
pushing	R	
put	R	
putting	R	
qr	X	
qualifications	R	
quality	R	
quantity	R	
quantum	R	
quarter	F	
quarterback	R	
question	R	
questions	R	
quick	R	
quickly	R	
quite	S	epistemic
quotation	R	
quote	R	
quoted	R	
quotes	R	
race	R	
racism	R	
rad	R	
radiation	R	
rail	R	
rain	R	
ram	R	
ramón	R	
rancho	R	
range	R	
rank	R	
ranked	R	
rape	R	
rapid	R	
rapidly	R	
raptors	R	
rare	R	
rate	R	
rated	R	
rates	R	
rather	S	epistemic
rating	R	
ratio	R	
rationale	R	
raw	R	
rd	F	
re	F	
reach	R	
reached	R	
reaction	R	
read	R	
reading	R	
reads	R	
ready	R	
real	R	
reality	R	
really	S	epistemic
rear	R	
reason	R	
reasonably	S	evaluative
rebels	R	
rebuilding	R	
receipt	R	
receive	R	
received	R	
receiving	R	
recent	R	
recently	R	
recipe	R	
recipes	R	
recognise	R	
recognised	R	
recognition	R	
recognized	R	
recommend	S	speech_act
recommendation	R	
recommendations	R	
recommended	S	speech_act
record	R	
records	R	
recruit	R	
red	R	
redesigned	R	
reduce	R	
reduced	R	
reducing	R	
reduction	R	
redundant	R	
refer	R	
reference	R	
referenced	R	
referencing	R	
referred	R	
refinancing	R	
refined	R	
reflect	R	
reflecting	R	
reflection	R	
reflective	R	
reflects	R	
reform	R	
reforms	R	
refused	S	speech_act
regard	S	attitude_verb
regarded	S	attitude_verb
regarding	F	
regards	S	interjection
region	R	
regional	R	
register	R	
registration	R	
regulate	R	
regulated	R	
regulates	R	
regulating	R	
regulation	R	
regulations	R	
regulatory	R	
rehabilitation	R	
reinforced	R	
related	R	
relating	R	
relations	R	
relationship	R	
relationships	R	
relative	R	
relatively	S	epistemic
release	R	
relevant	S	evaluative
reliable	S	evaluative
relied	R	
religious	R	
rely	R	
remain	R	
remains	R	
remarkable	S	evaluative
remarkably	S	degree
remedy	R	
remember	S	epistemic
remembering	S	epistemic
remind	S	epistemic
reminds	S	epistemic
remove	R	
removed	R	
render	R	
renewable	R	
renowned	S	evaluative
rental	R	
repairs	R	
repeat	R	
replacement	R	
replica	R	
report	R	
reported	R	
reportedly	S	epistemic
reporter	R	
reporters	R	
reporting	R	
reports	R	
represent	R	
representation	R	
represented	R	
representing	R	
represents	R	
reprezent	X	
reputation	R	
reputed	S	epistemic
request	R	
requested	R	
required	R	
requirement	R	
requirements	R	
requisite	S	evaluative
research	R	
researcher	R	
researchers	R	
reserve	R	
reserved	R	
reshape	R	
residential	R	
resilient	R	
resistant	R	
resolution	R	
resort	R	
resource	R	
respect	S	attitude_verb
respective	R	
responding	R	
response	R	
responses	R	
responsibility	R	
responsiveness	R	
rest	R	
restaurant	R	
restaurants	R	
restore	R	
restoring	R	
restricted	R	
restrictions	R	
result	R	
resulted	R	
resulting	R	
results	R	
retail	R	
retention	R	
return	R	
reveal	S	epistemic
revealed	S	epistemic
reveals	S	epistemic
reverse	R	
review	R	
rhythmic	R	
rib	R	
rich	R	
richard	R	
rid	R	
rides	R	
rig	R	
right	S	evaluative
righteousness	R	
rights	R	
ring	R	
rings	R	
ripping	R	
rise	R	
rising	R	
risk	R	
risks	R	
river	R	
road	R	
roast	R	
roasted	R	
rob	R	
robinson	R	
robo	R	
robotics	R	
robust	S	evaluative
rock	R	
rodriguez	R	
role	R	
roles	R	
roll	R	
roman	R	
ron	R	
ronaldo	R	
roofing	R	
room	R	
root	R	
rose	R	
rotor	R	
roughly	S	epistemic
roulette	R	
round	R	
rounded	R	
routes	R	
royal	R	
royaume	X	
rubber	R	
rubble	R	
rugged	R	
rule	R	
rules	R	
rumor	R	
run	R	
running	R	
rural	R	
russell	R	
russian	R	
sad	S	evaluative
safe	S	evaluative
safely	R	
safety	R	
said	S	speech_act
sail	R	
saint	R	
saints	R	
sake	F	
sale	R	
sales	R	
salmon	R	
salt	R	
sam	R	
same	F	
sample	R	
sampling	R	
san	R	
sand	R	
santa	R	
santo	R	
satellite	R	
satisfy	R	
saturday	R	
save	R	
saw	R	
say	S	speech_act
saying	S	speech_act
says	S	speech_act
scalar	R	
scale	R	
scarcely	S	epistemic
scared	S	evaluative
scene	R	
scenic	R	
schedule	R	
scheduled	R	
scheduling	R	
schema	R	
school	R	
schools	R	
science	R	
scientific	R	
scope	R	
score	R	
scored	R	
scores	R	
screen	R	
script	R	
sea	R	
seamless	S	evaluative
seams	R	
search	R	
season	R	
seasonal	R	
seattle	R	
second	F	
secondary	R	
seconds	R	
section	R	
sector	R	
sectors	R	
secure	S	evaluative
secured	R	
security	R	
see	R	
seeing	R	
seek	R	
seeking	R	
seem	S	epistemic
seemed	S	epistemic
seeming	S	epistemic
seemingly	S	epistemic
seems	S	epistemic
seen	R	
seismic	R	
select	R	
selected	R	
selection	R	
self	R	
semi	X	
senator	R	
send	R	
sending	R	
sends	R	
senior	R	
sense	R	
sensitive	R	
sent	R	
sentinel	R	
separate	R	
sept	R	
september	R	
seq	X	
sequential	R	
series	R	
serious	S	evaluative
seriously	S	degree
serve	R	
served	R	
server	R	
serves	R	
service	R	
services	R	
serving	R	
session	R	
set	R	
sets	R	
setting	R	
setup	R	
seven	F	
several	F	
severe	S	evaluative
severely	S	evaluative
sex	R	
sexual	R	
sexy	S	evaluative
shall	S	modal
shame	R	
shape	R	
shaping	R	
share	R	
shared	R	
sharing	R	
sharp	R	
she	F	
shed	R	
sheer	S	degree
sheets	R	
sheldon	R	
shelf	R	
shielding	R	
ship	R	
shipped	R	
shipping	R	
shit	R	
shooting	R	
shop	R	
shopping	R	
shops	R	
short	R	
shot	R	
shots	R	
should	S	modal
shouldn't	S	modal
show	R	
showcased	R	
showcases	R	
showed	R	
shown	R	
shows	R	
shy	R	
sic	F	
sick	R	
side	R	
sides	R	
sign	R	
signal	R	
signature	R	
significance	R	
significant	S	evaluative
significantly	S	degree
signifies	S	speech_act
silicon	R	
silver	R	
similar	R	
simple	S	evaluative
simplicity	R	
simplify	R	
simplistic	S	evaluative
simply	S	epistemic
sims	R	
simulation	R	
since	F	
singer	R	
single	R	
singles	R	
sinus	R	
sister	R	
sisters	R	
sit	R	
site	R	
sits	R	
sitting	R	
situation	R	
situations	R	
six	F	
size	R	
sizeable	R	
skeleton	R	
skilled	S	evaluative
skills	R	
skin	R	
sky	R	
slated	R	
sliced	R	
slide	R	
slight	S	degree
slightly	S	degree
slippers	R	
slots	R	
slow	R	
small	R	
smart	S	evaluative
smell	R	
smelling	R	
smooth	R	
smoother	R	
smoothly	S	evaluative
snow	R	
so	S	degree
social	R	
societal	R	
society	R	
socio	R	
socioeconomic	R	
soda	R	
sodium	R	
sofia	R	
software	R	
solar	R	
sold	R	
soldiers	R	
solid	S	evaluative
solitary	R	
solution	R	
solutions	R	
solve	R	
solving	R	
some	F	
someone	F	
something	F	
sometimes	F	
somewhat	S	epistemic
song	R	
sony	R	
soon	R	
soooo	S	degree
sophisticated	S	evaluative
sort	R	
sorts	R	
sought	R	
soul	R	
souls	R	
sound	R	
sounded	R	
sounds	R	
source	R	
sources	R	
sous	X	
south	R	
southeast	R	
southern	R	
sox	R	
soybean	R	
space	R	
spanish	R	
spanning	R	
spatial	R	
speaking	R	
special	R	
specialised	R	
specialist	R	
specialized	R	
species	R	
specific	R	
specifically	S	epistemic
specifications	R	
specified	R	
spectacular	S	evaluative
speed	R	
speeds	R	
spend	R	
spent	R	
spider	R	
spirit	R	
split	R	
spoke	R	
sponsoring	R	
sponsorship	R	
sport	R	
sports	R	
spot	R	
spread	R	
spring	R	
st	F	
stable	R	
staff	R	
stagnant	R	
stair	R	
stakeholders	R	
stand	R	
standard	R	
standardized	R	
standards	R	
standing	R	
stands	R	
stanley	R	
star	R	
start	R	
started	R	
starting	R	
starts	R	
state	S	speech_act
stated	S	speech_act
statement	R	
states	R	
statewide	R	
static	R	
station	R	
statistic	R	
statistically	R	
statistics	R	
status	R	
statutory	R	
stay	R	
steam	R	
steering	R	
stem	R	
step	R	
steps	R	
steven	R	
still	F	
stimulate	R	
stir	R	
stockholm	R	
stone	R	
stop	R	
stopped	R	
storage	R	
store	R	
stored	R	
stores	R	
story	R	
straight	R	
strategic	R	
strategies	R	
strategy	R	
strawberry	R	
streaming	R	
streamline	R	
street	R	
strength	R	
strengthen	R	
strengthened	R	
strengthening	R	
stress	S	speech_act
stretches	R	
stretching	R	
strictly	S	epistemic
strip	R	
strive	R	
strives	R	
strong	S	evaluative
strongly	S	degree
struck	R	
structural	R	
structure	R	
structured	R	
structures	R	
struggle	R	
stub	R	
stubborn	S	evaluative
stuck	R	
student	R	
students	R	
studies	R	
studio	R	
study	R	
stuff	R	
sturdy	R	
style	R	
stylish	S	evaluative
subject	R	
submit	R	
submitted	R	
subscribe	R	
subsequent	R	
subsequently	R	
substance	R	
substances	R	
substantial	S	evaluative
substantially	S	degree
substantive	R	
suburb	R	
suburbs	R	
succeed	R	
success	R	
successful	S	evaluative
successfully	S	evaluative
such	F	
sudden	R	
suffering	R	
sufficient	S	evaluative
sufficiently	S	degree
sugar	R	
suggest	S	speech_act
suggested	S	speech_act
suggesting	R	
suggests	S	speech_act
suicidal	R	
suicide	R	
suit	R	
suitable	S	evaluative
suitably	R	
suite	R	
suited	R	
suits	R	
sultan	R	
sum	R	
summary	R	
summer	R	
sun	R	
sunday	R	
sundays	R	
sunflower	R	
super	S	degree
supplemental	R	
supplied	R	
supplier	R	
supply	R	
support	R	
supported	R	
supporting	R	
supportive	R	
supports	R	
suppose	S	attitude_verb
supposed	S	epistemic
sure	S	epistemic
surface	R	
surgery	R	
surprise	R	
surprised	S	evaluative
surprising	S	evaluative
surprisingly	S	evaluative
surrounding	R	
survive	R	
survived	R	
surviving	R	
susan	R	
susceptibles	X	
suspect	R	
suspects	R	
suspended	R	
sustainability	R	
sustainable	R	
sustaining	R	
sweater	R	
sweet	R	
swift	R	
swim	R	
swimming	R	
swirling	R	
swiss	R	
switch	R	
switching	R	
symbol	R	
sync	R	
synonymous	R	
synthesis	R	
syrup	R	
system	R	
systematic	R	
systematically	R	
systems	R	
tablespoons	R	
tablet	R	
tablets	R	
tactical	R	
tactics	R	
tag	R	
tailored	R	
take	R	
taken	R	
takes	R	
taking	R	
tale	R	
talented	S	evaluative
talk	R	
talking	R	
tank	R	
taper	R	
target	R	
targeted	R	
tart	R	
task	R	
taste	R	
tasting	R	
taught	R	
tax	R	
tea	R	
teachers	R	
teaching	R	
team	R	
tear	R	
tech	R	
technical	R	
techniques	R	
technologies	R	
technology	R	
telecommunications	R	
telekom	R	
telephone	R	
television	R	
tell	S	speech_act
telling	S	speech_act
temper	R	
temperature	R	
template	R	
temporarily	R	
ten	F	
tenant	R	
term	R	
terms	R	
terrorist	R	
test	R	
testament	R	
texas	R	
text	R	
textual	R	
texture	R	
th	F	
than	F	
thank	S	interjection
that	F	
that's	F	
thats	F	
the	F	
their	F	
them	F	
thematic	R	
theme	R	
themselves	F	
then	F	
theory	R	
therapy	R	
there	F	
there's	F	
thereafter	R	
thereby	F	
therefore	F	
thereof	F	
theres	F	
thermal	R	
these	F	
they	F	
they'll	F	
they're	F	
thickness	R	
thin	R	
thing	R	
things	R	
think	S	attitude_verb
thinking	S	attitude_verb
third	F	
thirty	F	
this	F	
thorough	S	evaluative
thoroughly	S	degree
those	F	
though	F	
thought	S	attitude_verb
thoughtful	S	evaluative
thoughts	R	
thousand	F	
thread	R	
three	F	
threshold	R	
threw	R	
through	F	
throughout	F	
throw	R	
thrown	R	
thus	F	
thwart	R	
tidal	R	
tie	R	
tied	R	
ties	R	
tiger	R	
tight	R	
tighter	R	
till	F	
tim	R	
time	R	
timeline	R	
timely	S	evaluative
times	R	
tiny	S	degree
tip	R	
tips	R	
tired	S	evaluative
titan	R	
title	R	
titled	R	
titles	R	
tm	R	
tn	R	
to	F	
tobacco	R	
today	R	
today's	R	
together	R	
toilet	R	
told	S	speech_act
tongue	R	
tony	R	
too	F	
took	R	
tools	R	
tooth	R	
top	R	
topic	R	
toro	R	
toronto	R	
total	R	
totally	S	degree
touch	R	
tough	S	evaluative
tougher	S	evaluative
tour	R	
touring	R	
tourism	R	
tourist	R	
toward	F	
towards	F	
town	R	
toys	R	
trace	R	
track	R	
tracking	R	
tracks	R	
trade	R	
trading	R	
traditional	R	
trained	R	
training	R	
transfer	R	
transform	R	
transformation	R	
transformed	R	
transformers	R	
transition	R	
transparent	R	
transport	R	
transportation	R	
trauma	R	
travel	R	
traveling	R	
travelled	R	
treat	R	
treated	R	
treating	R	
treatment	R	
trek	R	
tremendous	S	degree
trend	R	
trendy	S	evaluative
trial	R	
tricky	S	evaluative
trigger	R	
triggered	R	
triggering	R	
triggers	R	
trip	R	
triumph	R	
troubleshooting	R	
troubling	S	evaluative
true	S	evaluative
truly	S	epistemic
truman	R	
trust	S	attitude_verb
trusted	S	attitude_verb
truth	R	
truths	R	
try	R	
trying	R	
ts	X	
tslib	X	
tsp	R	
tube	R	
tumble	R	
turbo	R	
turkey	R	
turn	R	
turned	R	
turns	R	
turtle	R	
tv	R	
tweaks	R	
twenty	F	
twice	F	
twig	R	
twin	R	
twisted	R	
twitter	R	
two	F	
tx	R	
type	R	
typical	S	evaluative
typically	S	epistemic
uae	R	
udd	X	
uid	R	
uk	R	
ultimate	S	evaluative
ultimately	S	epistemic
un	F	
unavailable	R	
under	F	
underestimate	S	epistemic
